table,G_order,G_solvable,false_characters,findall,run_started_at_utc,julia_version,oscar_version,fs2_git_revision,gap_version,ctbllib_version,scan_id,scan_total,scan_index,logged_at_utc
S5xS4,2880,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2251,2026-08-10T07:09:59.531Z
S5xS9,43545600,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2252,2026-08-10T07:10:00.526Z
S6(2),1451520,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2253,2026-08-10T07:10:00.55Z
S6(2)N2,512,true,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2254,2026-08-10T07:10:00.82Z
S6(3),4585351680,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2255,2026-08-10T07:10:00.865Z
S6(3).2,9170703360,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2256,2026-08-10T07:10:00.885Z
S6(4),4106059776000,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2257,2026-08-10T07:10:01.104Z
S6(4).2,8212119552000,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2258,2026-08-10T07:10:01.176Z
S6(5),228501000000000,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2259,2026-08-10T07:10:01.466Z
S6x2,1440,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2260,2026-08-10T07:10:01.51Z
S6xD8,5760,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2261,2026-08-10T07:10:01.823Z
S6xL2(8):3,1088640,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2262,2026-08-10T07:10:02.009Z
S6xS4,17280,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2263,2026-08-10T07:10:02.075Z
S6xS5,86400,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2264,2026-08-10T07:10:02.13Z
S7x2,10080,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2265,2026-08-10T07:10:02.176Z
S7xS3,30240,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2266,2026-08-10T07:10:02.225Z
S7xS4,120960,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2267,2026-08-10T07:10:02.297Z
S7xS5,604800,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2268,2026-08-10T07:10:02.364Z
S7xS6,3628800,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2269,2026-08-10T07:10:02.47Z
S8(2),47377612800,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2270,2026-08-10T07:10:02.512Z
S8(2)M3,185794560,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2271,2026-08-10T07:10:02.604Z
S8(3),65784756654489600,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2272,2026-08-10T07:10:03.357Z
S8x2,80640,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2273,2026-08-10T07:10:03.405Z
S8xS3,241920,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2274,2026-08-10T07:10:03.459Z
S8xS4,967680,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2275,2026-08-10T07:10:03.544Z
S8xS5,4838400,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2276,2026-08-10T07:10:03.639Z
S9x2,725760,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2277,2026-08-10T07:10:03.691Z
S9xS3,2177280,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2278,2026-08-10T07:10:03.753Z
S9xS4,8709120,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2279,2026-08-10T07:10:03.863Z
Suz,448345497600,false,0,true,2026-08-10T06:58:19.62Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q1-findall,2397,2280,2026-08-10T07:10:03.89Z
